,Timestamp,Unnamed: 1,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
83,2023-05-23,06:00:00,-1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
84,2023-05-23,12:00:00,2,4.5,3.29,5.34,-0.47,-3.23,2.97,-3.08,-4.57,0.51,2.56,-3.56,4.46,264.63,3.77,336.95,36.89,-41.34,82.19,1.58,0.26,2.34,569.52,525.07,599.67,133055,48413,230419
85,2023-05-23,18:00:00,2,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1.14,0.15,10.27,561.3,516.5,605.46,58358,5000,539458
86,2023-05-24,00:00:00,2,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2.04,0.69,2.9,575.16,555.21,607.58,147630,76033,224348
87,2023-05-24,06:00:00,2,4.25,2.47,4.92,0.4,-2.87,3.74,-2.51,-4.59,0.84,1.8,-4.86,4.4,288.84,1.81,358.07,24.76,-85.33,85.05,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999
88,2023-05-24,12:00:00,2,5.11,4.72,5.67,2.03,-1.49,4.84,-3.89,-5.46,2.62,-0.48,-4.8,3.81,300.65,42.96,345.32,-5.25,-74.26,50.42,2.65,0.1,13.81,529.2,499.2,569.18,154407,6704,589646
89,2023-05-24,18:00:00,0,4.98,3.29,5.47,1.7,-2.98,3.95,-2.83,-5.06,2.47,-2.46,-5.19,3.31,302.21,4.76,355.32,-32.41,-83.84,48.98,0.88,0.1,2.54,545.45,474.38,612.13,194593,24605,403149
90,2023-05-25,00:00:00,0,4.79,2.79,5.5,2.52,-1.07,4.52,-2.39,-5.0,2.44,0.13,-4.88,4.23,319.41,1.82,357.38,1.44,-80.63,61.11,1.28,0.1,2.47,554.84,468.42,593.52,235895,25774,467350
91,2023-05-25,06:00:00,0,4.4,2.79,6.23,1.71,-4.76,3.91,-0.74,-5.09,3.52,-0.67,-5.33,4.28,315.29,1.97,354.27,-9.77,-80.56,61.06,0.84,0.1,2.32,584.65,518.6,655.08,314243,91002,539668
92,2023-05-25,12:00:00,0,3.99,3.45,4.79,3.36,0.69,4.03,-1.26,-4.29,2.07,0.8,-2.2,2.71,339.42,1.45,358.68,11.31,-34.34,41.36,0.96,0.24,1.31,588.96,566.03,620.46,286818,176031,552185
93,2023-05-25,18:00:00,0,3.96,2.93,4.78,2.98,-1.63,4.07,-1.92,-4.37,-0.41,-0.61,-2.71,2.28,320.37,245.27,353.27,-8.75,-40.37,32.44,0.56,0.1,1.08,567.11,487.63,629.35,237466,73682,444684
94,2023-05-26,00:00:00,0,4.11,3.24,4.67,2.74,-1.14,4.3,0.14,-4.23,3.49,-2.09,-4.45,1.53,2.1,0.51,357.61,-31.85,-86.94,20.42,0.34,0.1,1.23,495.09,444.44,556.86,158475,20498,377048
95,2023-05-26,06:00:00,0,3.72,2.76,4.44,2.84,-1.2,4.08,-0.02,-4.37,3.29,0.81,-2.81,3.03,358.7,1.4,358.1,12.34,-51.01,58.38,0.68,0.1,1.44,475.7,433.55,526.05,128578,16637,310084
96,2023-05-26,12:00:00,0,4.14,3.19,4.7,2.57,-1.99,3.94,-2.02,-4.08,0.09,1.45,-3.05,4.06,317.22,6.42,352.96,20.55,-52.54,69.59,0.42,0.1,0.8,466.89,422.58,543.74,150637,35586,428146
97,2023-05-26,18:00:00,0,4.39,4.03,4.72,3.25,0.02,4.16,-2.13,-4.52,2.48,-1.14,-3.86,2.58,334.66,0.53,357.97,-15.55,-59.24,36.63,0.19,0.1,0.7,430.25,384.12,518.42,96271,28745,424628
